  → pod=target-app-57f655b559-svnq4 status=200  latency=1686.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1509.8ms
[45/756] 2022-04-11T06:00:00  total_mb=5219  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1734.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1906.6ms
[46/756] 2022-04-11T06:40:00  total_mb=5349  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1594.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1649.6ms
[47/756] 2022-04-11T07:20:00  total_mb=5443  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1715.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1605.7ms
[48/756] 2022-04-11T08:00:00  total_mb=5718  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1761.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1629.1ms
[49/756] 2022-04-11T08:40:00  total_mb=5750  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1700.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1724.6ms
[50/756] 2022-04-11T09:20:00  total_mb=5866  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1753.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1666.5ms
[51/756] 2022-04-11T10:00:00  total_mb=5947  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1939.9ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1715.5ms
[52/756] 2022-04-11T10:40:00  total_mb=6007  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1807.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=2026.2ms
[53/756] 2022-04-11T11:20:00  total_mb=6020  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1849.6ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1844.9ms
[54/756] 2022-04-11T12:00:00  total_mb=6135  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1919.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1683.8ms
[55/756] 2022-04-11T12:40:00  total_mb=6142  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1893.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1741.0ms
[56/756] 2022-04-11T13:20:00  total_mb=6140  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1940.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1909.6ms
[57/756] 2022-04-11T14:00:00  total_mb=6249  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1803.7ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1911.0ms
[58/756] 2022-04-11T14:40:00  total_mb=6255  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1860.0ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1816.6ms
[59/756] 2022-04-11T15:20:00  total_mb=6259  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1935.7ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1787.4ms
[60/756] 2022-04-11T16:00:00  total_mb=6304  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1873.1ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=2050.7ms
[61/756] 2022-04-11T16:40:00  total_mb=6355  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1852.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1901.3ms
[62/756] 2022-04-11T17:20:00  total_mb=6359  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=2026.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1957.6ms
[63/756] 2022-04-11T18:00:00  total_mb=6369  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1967.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1787.1ms
[64/756] 2022-04-11T18:40:00  total_mb=6374  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1924.2ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1843.9ms
[65/756] 2022-04-11T19:20:00  total_mb=6396  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1858.9ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=2046.9ms
[66/756] 2022-04-11T20:00:00  total_mb=6394  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1888.1ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=2041.8ms
[67/756] 2022-04-11T20:40:00  total_mb=6426  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=2115.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=2014.8ms
[68/756] 2022-04-11T21:20:00  total_mb=4243  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1476.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1365.8ms
[69/756] 2022-04-11T22:00:00  total_mb=4632  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1393.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1512.9ms
[70/756] 2022-04-11T22:40:00  total_mb=4969  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1508.4ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1456.7ms
[71/756] 2022-04-11T23:20:00  total_mb=5109  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1644.9ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1495.0ms
[72/756] 2022-04-12T00:00:00  total_mb=5157  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1529.8ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1792.6ms
[73/756] 2022-04-12T00:40:00  total_mb=5281  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1624.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1491.5ms
[74/756] 2022-04-12T01:20:00  total_mb=5365  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1821.5ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1702.3ms
[75/756] 2022-04-12T02:00:00  total_mb=5441  pods=2
  → pod=target-app-57f655b559-svnq4 status=200  latency=1578.3ms
  → pod=target-app-57f655b559-wwxg6 status=200  latency=1819.5ms
